Partner University (PU),PU Module Code,PU Module Title,PU Module Credits,NUS Module Cod,NUS Module Credits
Chalmers University of Technology,KBT192,NUCLEAR CHEMISTRY I,7.50,CM3991,4
Chalmers University of Technology,KLIO11,FOOD CHEMISTRY,7.50,CM3991,4
Chalmers University of Technology,KLI011,Food Chemistry,7.50,CM3991,4
Chalmers University of Technology,KFK021,Biophysical Chemistry,7.50,CM3991,4
Chalmers University of Technology,FFR166,Science of environmental change,7.50,CM3261,4
Chalmers University of Technology,KOK032,Applied organic molecular spectroscopy,7.50,CM4225,4
Chalmers University of Technology,KTK012,catalysis,7.50,CM4228,4
Chalmers University of Technology,KBT245,green chemistry,7.50,CM4269,4
Chalmers University of Technology,KBT160,Advanced Organic Synthesis,7.50,CM3221,4
Chalmers University of Technology,KBT101,solid state chemistry,7.50,CM3253,4
City University of Hong Kong,AP3190,Thermodynamics of Materials,3.00,CM3991,4
City University of Hong Kong,BCH4043,Food Chemistry,3.00,CM3991,4
City University of Hong Kong,BCH2008A,PRINCIPLES OF PHYSICAL CHEMISTRY,3.00,CM1131,4
City University of Hong Kong,BCH3055,Green Chemistry,3.00,CM4269,4
City University of Hong Kong,BCH4030,Advanced Inorganic Chemistry,4.00,CM3212,4
City University of Hong Kong,AP3272,Introduction to Solid State Physics,3.00,CM3232,4
City University of Hong Kong,BCH3053,Computational Chemistry,3.00,CM3296,4
Colgate University,CHEM452,Metabolic Chemistry,0.50,CM3991,4
Colgate University,CHEM454,Bioenergetics,0.50,CM3991,4
Colgate University,CHEM353,Proteins and Nucleic Acids,1.00,CM3225,4
Delft University of Technology,LM3311,Green Chemistry and Sustainable Technology,3.00,CM4269,4
Delft University of Technology,CH3082,Chemical Technology,3.00,CM3201,4
Delft University of Technology,CH3101,Heterogeneous Catalysis for Chemical Engineers,3.00,CM4228,4
Delft University of Technology,CH3562,Nanoparticle Technology,3.00,CM3251,4
Delft University of Technology,CH3672,Computational Materials Science,3.00,CM3296,4
ETH Zurich,402‐0810‐00L,Computational Quantum Physics,8.00,CM3296,4
